Date,Predicted_LSTM,Real,Predicted_Transformer,Predicted_ARIMA,Predicted_Null
2023-07-28,454.02338,467.5,468.9548659734035,457.2419565886692,459.0
2023-07-31,451.6898,467.290009,468.76404666456057,456.45687319773754,467.5
2023-08-01,456.36096,465.070007,466.563300715574,456.30985911188577,467.290009
2023-08-02,461.74637,442.690002,444.1897604240205,457.6182943696222,465.070007
2023-08-03,463.6047,445.149994,446.647751098822,466.49699254186976,442.690002
2023-08-04,467.20233,446.799988,448.2919591644377,467.15868198265207,445.149994
2023-08-07,468.3997,454.170013,455.645284552244,467.22230820011066,446.799988
2023-08-08,463.82184,446.640015,448.1001316739858,467.408366976963,454.170013
2023-08-09,456.99594,425.540009,426.9788410796374,467.89405877819866,446.640015
2023-08-10,449.0464,423.880005,425.3115023409614,446.4237852539513,425.540009
2023-08-11,450.70172,408.549988,409.9692785184833,446.5715591910422,423.880005
2023-08-14,450.31522,437.529999,438.9251193201874,447.3087734353142,408.549988
2023-08-15,446.77332,439.399994,440.7740246721414,448.56485686383087,437.529999
2023-08-16,436.39917,434.859985,436.21772073120167,449.26195938230217,439.399994
2023-08-17,426.79282,433.440002,434.8025340070904,438.0284395523044,434.859985
2023-08-18,426.85114,432.98999,434.3580466627083,436.14091683243964,433.440002
2023-08-21,428.94016,469.670013,471.0679169015657,435.67936383699595,432.98999
2023-08-22,440.77478,456.679993,458.0950438900629,437.824962741889,469.670013
2023-08-23,440.8764,471.160004,472.58474165324645,440.28772873110233,456.679993
2023-08-24,441.35437,471.630005,473.0797229699796,456.0696728293387,471.160004
2023-08-25,446.5657,460.179993,461.661994069183,453.16580106783874,471.630005
2023-08-28,456.25507,468.350006,469.86803193091686,453.0291031201254,460.179993
2023-08-29,470.21597,487.839996,489.3534715785117,456.6040404337896,468.350006
2023-08-30,468.35724,492.640015,494.1790446726324,459.49221875107554,487.839996
2023-08-31,473.7379,493.549988,495.1016604503682,487.82337009429716,492.640015
2023-09-01,473.8661,485.089996,486.6547951118635,485.34900326814545,493.549988
2023-09-05,475.50177,485.480011,487.0723614304562,483.0399798096466,485.089996
2023-09-06,485.48468,470.609985,472.2254539959312,483.4887419863862,485.480011
2023-09-07,494.52692,462.410004,464.01644475012375,487.25373229406347,470.609985
2023-09-08,494.90848,455.720001,457.3044031353284,474.72710737752305,462.410004
2023-09-11,491.3107,451.779999,453.3329399637955,475.691748991648,455.720001
2023-09-12,484.25708,448.700012,450.2261856720295,474.10190687574783,451.779999
2023-09-13,477.7967,454.850006,456.3422788401039,473.10555403018014,448.700012
2023-09-14,467.44186,455.809998,457.2855219416466,473.71299413986833,454.850006
2023-09-15,461.16138,439.0,440.46669182269136,456.13991403152716,455.809998
2023-09-18,457.1716,439.660004,441.11504133583134,456.3453678288961,439.0
2023-09-19,455.3558,435.200012,436.6469586907469,455.6939666939502,439.660004
2023-09-20,454.60052,422.390015,423.8299074770809,455.4208615263196,435.200012
2023-09-21,454.3496,410.170013,411.58639233462594,456.47318115023984,422.390015
2023-09-22,449.1244,416.100006,417.47983295287,424.8718979562583,410.170013
2023-09-25,439.95898,422.220001,423.582749538782,425.251501479959,416.100006
2023-09-26,435.6438,419.109985,420.4553839059445,424.4045750866719,422.220001
2023-09-27,428.38397,424.679993,426.0077346373458,424.3860904096575,419.109985
2023-09-28,420.85602,430.890015,432.2149165111492,424.9183514631153,424.679993
2023-09-29,418.4505,434.98999,436.3311212135424,424.58539760164183,430.890015
2023-10-02,422.87573,447.820007,449.1752990654312,424.77338327879244,434.98999
2023-10-03,426.2084,435.170013,436.5407876438602,425.58115428333673,447.820007
2023-10-04,428.3954,440.410004,441.7966351975167,426.3122273222311,435.170013
2023-10-05,434.15625,446.880005,448.28149665834087,426.8145319915711,440.410004
2023-10-06,439.37103,457.619995,459.0349421512308,440.87142977902573,446.880005
2023-10-09,443.25745,452.730011,454.1624523343093,441.567133097908,457.619995
2023-10-10,446.7067,457.980011,459.4118248849264,442.8701154720702,452.730011
2023-10-11,444.9377,468.059998,469.5113022000326,443.14357696842535,457.980011
2023-10-12,450.75278,469.450012,470.9239490688757,442.9423030048297,468.059998
2023-10-13,456.52637,454.609985,456.1034487290826,468.0687035262369,469.450012
2023-10-16,461.48187,460.950012,462.442554816824,469.12103285789266,454.609985
2023-10-17,462.56296,439.380005,440.8824839589674,469.85670602403223,460.950012
2023-10-18,466.89203,421.959991,423.45538966138025,469.9738922809557,439.380005
2023-10-19,468.8302,421.01001,422.47370126327553,470.2859985931981,421.959991
2023-10-20,463.78128,413.869995,415.29421944082816,424.13224642702534,421.01001
2023-10-23,453.9171,429.75,431.1447005304747,425.031585712284,413.869995
2023-10-24,446.70056,436.630005,437.9901421056319,425.5143270781702,429.75
2023-10-25,432.00262,417.790009,419.1389723432883,425.26141902661794,436.630005
2023-10-26,424.6334,403.26001,404.6073572172428,424.3861431249859,417.790009
2023-10-27,425.11072,405.0,406.3380389586548,417.7780599024217,403.26001
2023-10-30,426.05112,411.609985,412.9492868901152,419.0010494429516,405.0
2023-10-31,430.14294,407.799988,409.1251464263891,420.98391836873157,411.609985
2023-11-01,425.09647,423.25,424.5464926514324,422.8270781037359,407.799988
2023-11-02,413.58414,435.059998,436.3528891461556,422.2387685952247,423.25
