Date,Predicted,Real
2024-02-23,730.6991,788.169983
2024-02-26,721.25397,790.919983
2024-02-27,718.1289,787.01001
2024-02-28,719.6905,776.630005
2024-02-29,743.8266,791.119995
2024-03-01,787.6382,822.789978
2024-03-04,788.3084,852.369995
2024-03-05,788.505,859.640015
2024-03-06,789.96185,887.0
2024-03-07,797.99475,926.690002
2024-03-08,818.49854,875.280029
2024-03-11,842.89575,857.73999
2024-03-12,862.37,919.130005
2024-03-13,874.3366,908.880005
2024-03-14,886.5798,879.440002
2024-03-15,889.3477,878.369995
2024-03-18,874.29706,884.549988
2024-03-19,880.0425,893.97998
2024-03-20,895.14404,903.719971
2024-03-21,884.19354,914.349976
2024-03-22,875.0479,942.890015
2024-03-25,878.8426,950.02002
2024-03-26,886.68225,925.609985
2024-03-27,896.78876,902.5
2024-03-28,907.6514,903.559998
